iso3,year,crisis_next_12m,banking_crisis_next_12m,debt_crisis_next_12m,crisis_any,banking_crisis,currency_crisis,debt_crisis,inflation,gdp_growth,unemployment,real_interest_rate_10y
MYS,1980.0,0.0,0.0,0.0,0,0,0,0,-0.05426380186612635,7.44182677934407,-1.6405651372573118,6.9346889958333335
MYS,1981.0,0.0,0.0,0.0,0,0,0,0,0.1459582636473633,6.94210420118173,-1.1991811876484426,6.9346889958333335
MYS,1982.0,0.0,0.0,0.0,0,0,0,0,-0.12342671302999882,5.94315245801018,-0.8445807248221713,6.9346889958333335
MYS,1983.0,0.0,0.0,0.0,0,0,0,0,-0.33364665090546447,6.25223081092673,-0.7017432522947374,5.888257380833333
MYS,1984.0,1.0,1.0,0.0,0,0,0,0,-0.3113689609083168,7.76179012218883,-0.10413762893519657,6.6373992375
MYS,1985.0,1.0,1.0,0.0,1,1,0,0,-0.9706814159829142,-1.02525025342071,0.15102975192548831,5.660392525833333
MYS,1986.0,1.0,1.0,0.0,1,1,0,0,-0.8493876946528519,1.24059492750688,0.43405847556427646,4.048303089166667
MYS,1987.0,1.0,1.0,0.0,1,1,0,0,-0.9906810968988018,5.19193211272702,0.2399590194691024,4.218014031666667
MYS,1988.0,0.0,0.0,0.0,1,1,0,0,-0.4853463442090144,9.93771967651989,0.2250513586786989,4.452901190833333
MYS,1989.0,0.0,0.0,0.0,0,0,0,0,-0.4480711365837846,9.0596008665043,-0.132071754268028,4.4047298725
MYS,1990.0,0.0,0.0,0.0,0,0,0,0,-0.4762398888842063,9.00852713774628,-0.47514861648236345,4.3208969375
MYS,1991.0,0.0,0.0,0.0,0,0,0,0,-0.26109547857276383,9.54546741443052,-2.507442287709946,3.9339278958333335
MYS,1992.0,0.0,0.0,0.0,0,0,0,0,-0.21955920461254397,8.88511797832156,-0.7329469251912041,3.38244437
MYS,1993.0,0.0,0.0,0.0,0,0,0,0,-0.3536478030813846,9.89494333377064,-0.5980476313874177,2.7144275875
MYS,1994.0,0.0,0.0,0.0,0,0,0,0,-0.3312160531298141,9.21204179334867,-0.7611250260433848,3.5351682466666667
MYS,1995.0,0.0,0.0,0.0,0,0,0,0,-0.3641592808050949,9.82908519730812,-0.9397435556436272,3.3100514933333334
MYS,1996.0,1.0,1.0,0.0,0,0,0,0,-0.3594955970562777,10.0027006861844,-1.2039122366109483,3.1400511850000004
